date, pm25
1/25/2017,306
1/26/2017,282
1/27/2017,320
1/28/2017,243
1/29/2017,176
1/30/2017,189
1/31/2017,232
2/1/2017,256
2/2/2017,229
2/3/2017,282
2/4/2017,228
2/5/2017,186
2/6/2017,219
2/7/2017,188
2/8/2017,201
2/9/2017,208
2/10/2017,294
2/11/2017,234
2/12/2017,187
2/13/2017,225
2/14/2017,271
2/15/2017,244
2/16/2017,231
2/17/2017,240
2/18/2017,264
2/19/2017,313
2/20/2017,223
2/21/2017,170
2/22/2017,163
2/23/2017,94
2/24/2017,15
2/25/2017,13
2/27/2017,200
2/28/2017,239
3/1/2017,239
3/2/2017,235
3/3/2017,175
3/4/2017,163
3/5/2017,139
3/6/2017,151
3/7/2017,182
3/8/2017,175
3/9/2017,151
3/10/2017,156
3/11/2017,123
3/12/2017,167
3/13/2017,163
3/14/2017,160
3/15/2017,186
3/16/2017,208
3/17/2017,237
3/18/2017,154
3/19/2017,177
3/20/2017,141
3/21/2017,172
3/22/2017,180
3/23/2017,188
3/24/2017,190
3/25/2017,129
3/26/2017,153
3/27/2017,163
3/28/2017,141
3/29/2017,132
3/30/2017,94
3/31/2017,121
10/1/2016,117
10/2/2016,136
10/3/2016,139
10/4/2016,159
10/5/2016,111
10/6/2016,142
10/7/2016,107
10/8/2016,103
10/9/2016,104
10/10/2016,101
10/11/2016,78
10/12/2016,104
10/13/2016,163
10/14/2016,115
10/15/2016,144
10/16/2016,144
10/17/2016,155
10/18/2016,159
10/19/2016,162
10/20/2016,138
10/21/2016,150
10/22/2016,165
10/23/2016,159
10/24/2016,160
10/25/2016,163
10/26/2016,158
10/27/2016,121
10/28/2016,112
10/29/2016,115
10/30/2016,113
10/31/2016,133
11/1/2016,135
11/2/2016,131
11/3/2016,133
11/4/2016,136
11/5/2016,89
11/6/2016,48
11/7/2016,106
11/8/2016,167
11/9/2016,149
11/10/2016,167
11/11/2016,241
11/12/2016,202
11/13/2016,203
11/14/2016,200
11/15/2016,209
11/16/2016,188
11/17/2016,178
11/18/2016,189
11/19/2016,193
11/20/2016,177
11/21/2016,171
11/22/2016,188
11/23/2016,196
11/24/2016,183
11/25/2016,232
11/26/2016,181
11/27/2016,180
11/28/2016,195
11/29/2016,182
11/30/2016,161
