Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Deep Blue, Land-only) ()"
User Start Date:,2017-01-01T00:00:00Z
User End Date:,2021-12-31T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2017-01-01T00:00:00Z&endtime=2021-12-31T23:59:59Z&shape=state_dept_countries_2017/shp_22&&data=MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean&variableFacets=dataFieldMeasurement%3AAerosol%20Optical%20Depth%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean):, -9999

time, mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean
2018-02-28,0.55637025
2018-03-01,1.48977365
2018-03-02,0.875639448
2018-03-03,0.599392184
2018-03-04,0.446956597
2018-03-05,0.894554219
2018-03-06,0.740519712
2018-03-07,0.311654406
2018-03-08,0.299257874
2018-03-09,0.513732831
2018-03-10,0.479873494
2018-03-11,0.438278603
2018-03-12,0.67519398
2018-03-13,0.582643779
2018-03-14,0.768919844
2018-03-15,1.4512503
2018-03-16,0.985941075
2018-03-17,0.76355319
2018-03-18,0.652641354
2018-03-19,0.411850169
2018-03-20,0.466059883
2018-03-21,0.644652909
2018-03-22,0.907623323
2018-03-23,1.0872245
2018-03-24,1.59294003
2018-03-25,0.907159729
2018-03-26,1.69742059
2018-03-27,1.30015095
2018-03-28,1.28390137
2018-03-29,1.15198348
2018-03-30,0.711838097
2018-03-31,1.01654101
2018-04-01,0.404682714
2018-04-02,0.480000023
2018-04-03,0.784823749
2018-04-04,0.646437752
2018-04-05,0.831373675
2018-04-06,1.00502264
2018-04-07,1.77873023
2018-04-08,0.502422946
2018-04-09,2.27219231
2018-04-10,0.558616492
2018-04-11,1.09344966
2018-04-12,0.61778986
2018-04-13,0.422555386
2018-04-14,0.689472071
2018-04-15,0.39066462
2018-04-16,0.954024733
2018-04-17,1.00894148
2018-04-18,0.469951591
2018-04-19,0.60702242
2018-04-20,0.412714559
2018-04-21,1.98020863
2018-04-22,1.01628473
2018-04-23,0.37948503
2018-04-24,0.396007549
2018-04-25,0.558588183
2018-04-26,0.762497643
2018-04-27,0.521535867
2018-04-28,0.728300677
2018-04-29,0.642965468
2018-04-30,0.618000029
2018-05-01,0.400177116
2018-05-02,-nan
2018-05-03,0.434316865
2018-05-04,0.495267456
2018-05-05,0.580167983
2018-05-06,1.79716038
2018-05-07,1.75104645
2018-05-08,0.587222437
2018-05-09,1.5099515
2018-05-10,0.47765871
2018-05-11,0.934178743
2018-05-12,0.37336565
2018-05-13,1.14138942
2018-05-14,0.56386874
2018-05-15,0.615206177
2018-05-16,0.274000013
2018-05-17,0.528651942
2018-05-18,-nan
2018-05-19,0.843973045
2018-05-20,0.737806183
2018-05-21,1.8363854
2018-05-22,0.636961143
2018-05-23,0.39275941
2018-05-24,-nan
2018-05-25,1.06376476
2018-05-26,0.74979482
2018-05-27,0.368593522
2018-05-28,0.553791336
2018-05-29,0.402607853
2018-05-30,0.839778668
2018-05-31,0.994811099
2018-06-01,0.989000047
2018-06-02,0.681191701
2018-06-03,0.953107718
2018-06-04,0.99742736
2018-06-05,0.553443855
2018-06-06,0.434528884
2018-06-07,0.297363602
2018-06-08,0.557000026
2018-06-09,0.470580825
2018-06-10,0.344000016
2018-06-11,0.293000014
2018-06-12,-9999
2018-06-13,1.25512541
2018-06-14,1.60743367
2018-06-15,0.919859462
2018-06-16,1.37004138
2018-06-17,1.10000005
2018-06-18,1.29056635
2018-06-19,1.03911467
2018-06-20,1.26005169
2018-06-21,1.39816712
2018-06-22,1.26704871
2018-06-23,0.799666705
2018-06-24,-9999
2018-06-25,-nan
2018-06-26,-9999
2018-06-27,0.298333348
2018-06-28,-9999
2018-06-29,1.56800007
2018-06-30,-nan
2018-07-01,-nan
2018-07-02,1.24000006
2018-07-03,-9999
2018-07-04,-9999
2018-07-05,-9999
2018-07-06,0.721363192
2018-07-07,0.286941588
2018-07-08,-9999
2018-07-09,0.157055814
2018-07-10,-nan
2018-07-11,0.271614167
2018-07-12,-9999
2018-07-13,-9999
2018-07-14,0.334284188
2018-07-15,0.21100001
2018-07-16,-nan
2018-07-17,-9999
2018-07-18,0.302731137
2018-07-19,0.207320671
2018-07-20,0.524004592
2018-07-21,-nan
2018-07-22,-9999
2018-07-23,-9999
2018-07-24,-9999
2018-07-25,-9999
2018-07-26,-nan
2018-07-27,-nan
2018-07-28,-9999
2018-07-29,-9999
2018-07-30,-9999
2018-07-31,-9999
2018-08-01,-9999
2018-08-02,-9999
2018-08-03,-nan
2018-08-04,-9999
2018-08-05,-nan
2018-08-06,-nan
2018-08-07,1.66266799
2018-08-08,-9999
2018-08-09,-nan
2018-08-10,0.312884631
2018-08-11,-nan
2018-08-12,-nan
2018-08-13,-9999
2018-08-14,0.313665115
2018-08-15,-9999
2018-08-16,0.314232148
2018-08-17,0.270333346
2018-08-18,0.468000022
2018-08-19,0.382162879
2018-08-20,0.318000015
2018-08-21,0.41700002
2018-08-22,-9999
2018-08-23,0.386000018
2018-08-24,-9999
2018-08-25,0.173000008
2018-08-26,-9999
2018-08-27,-9999
2018-08-28,-9999
2018-08-29,-9999
2018-08-30,0.647000031
2018-08-31,0.322449379
2018-09-01,-nan
2018-09-02,-9999
2018-09-03,-nan
2018-09-04,0.415970756
2018-09-05,0.119000006
2018-09-06,0.137104822
2018-09-07,-nan
2018-09-08,0.542583504
2018-09-09,0.641662651
2018-09-10,-9999
2018-09-11,-nan
2018-09-12,-9999
2018-09-13,0.771000037
2018-09-14,-9999
2018-09-15,0.79289601
2018-09-16,0.370425361
2018-09-17,0.432772437
2018-09-18,0.430525021
2018-09-19,0.346535066
2018-09-20,0.155892289
2018-09-21,0.186000009
2018-09-22,0.120578336
2018-09-23,0.251000012
2018-09-24,0.265955861
2018-09-25,-nan
2018-09-26,1.81420142
2018-09-27,0.821653128
2018-09-28,0.981108815
2018-09-29,0.777530345
2018-09-30,0.775376886
2018-10-01,0.525531993
2018-10-02,0.540185264
2018-10-03,0.813727877
2018-10-04,0.787007105
2018-10-05,0.793897139
2018-10-06,0.737158649
2018-10-07,0.7022313
2018-10-08,0.60796167
2018-10-09,0.804810122
2018-10-10,0.377000018
2018-10-11,-9999
2018-10-12,-9999
2018-10-13,-9999
2018-10-14,0.38963979
2018-10-15,0.466645765
2018-10-16,0.403222614
2018-10-17,0.595604492
2018-10-18,0.819738815
2018-10-19,0.812400366
2018-10-20,0.807976785
2018-10-21,0.638760155
2018-10-22,0.532260794
2018-10-23,0.570113929
2018-10-24,0.619457969
2018-10-25,0.380688054
2018-10-26,0.361124349
2018-10-27,0.379357368
2018-10-28,0.181250233
2018-10-29,0.207614472
2018-10-30,0.156247714
2018-10-31,0.0971855469
2018-11-01,0.0911233723
2018-11-02,0.147764485
2018-11-03,0.381815845
2018-11-04,0.791078396
2018-11-05,1.11739265
2018-11-06,0.760768041
2018-11-07,0.85825816
2018-11-08,0.458862642
2018-11-09,0.484669036
2018-11-10,0.4671415
2018-11-11,0.360254535
2018-11-12,0.362844963
2018-11-13,0.508916505
2018-11-14,0.806397999
2018-11-15,0.701831587
2018-11-16,0.691508566
2018-11-17,0.979531788
2018-11-18,0.687995723
2018-11-19,0.641854888
2018-11-20,0.693161553
2018-11-21,0.648884338
2018-11-22,0.451428871
2018-11-23,0.447063528
2018-11-24,0.386177215
2018-11-25,0.316352014
2018-11-26,0.253477821
2018-11-27,0.183256738
2018-11-28,0.191131279
2018-11-29,0.248775812
2018-11-30,0.424242623
2018-12-01,0.416236751
2018-12-02,0.339298807
2018-12-03,1.11784744
2018-12-04,0.330035765
2018-12-05,0.317920956
2018-12-06,0.569137543
2018-12-07,0.608162273
2018-12-08,0.430241747
2018-12-09,0.284726003
2018-12-10,0.161014993
2018-12-11,0.202050409
2018-12-12,0.395498843
2018-12-13,0.311078599
2018-12-14,0.468141029
2018-12-15,0.37585231
2018-12-16,0.269971555
2018-12-17,-nan
2018-12-18,-9999
2018-12-19,0.265968921
2018-12-20,0.26687183
2018-12-21,0.577853614
2018-12-22,0.437025276
2018-12-23,0.328180044
2018-12-24,0.347799772
2018-12-25,0.533910021
2018-12-26,0.502693578
2018-12-27,0.611304396
2018-12-28,0.673621476
2018-12-29,0.560728922
2018-12-30,0.295919702
2018-12-31,0.251876092
2019-01-01,0.264136586
2019-01-02,0.236604672
2019-01-03,0.37235154
2019-01-04,0.819917497
2019-01-05,0.240403059
2019-01-06,0.184356332
2019-01-07,0.204970202
2019-01-08,0.427112277
2019-01-09,0.669336087
2019-01-10,0.822728177
2019-01-11,0.448201206
2019-01-12,0.409861471
2019-01-13,0.315422189
2019-01-14,0.858200371
2019-01-15,0.730928317
2019-01-16,0.398334436
2019-01-17,0.438032418
2019-01-18,0.586116189
2019-01-19,0.732564928
2019-01-20,0.57196283
2019-01-21,0.513491047
2019-01-22,0.341485646
2019-01-23,0.359285252
2019-01-24,0.637964903
2019-01-25,0.512988447
2019-01-26,0.399029085
2019-01-27,0.522795524
2019-01-28,0.497057598
2019-01-29,0.724858027
2019-01-30,0.421655403
2019-01-31,0.31529989
2019-02-01,0.223788221
2019-02-02,0.308735015
2019-02-03,0.389945236
2019-02-04,0.345909037
2019-02-05,0.335239947
2019-02-06,0.525182246
2019-02-07,0.638747724
2019-02-08,0.721892987
2019-02-09,0.872512799
2019-02-10,0.351159118
2019-02-11,0.230560783
2019-02-12,0.266244838
2019-02-13,0.245125931
2019-02-14,0.380741988
2019-02-15,0.552468888
2019-02-16,0.407066319
2019-02-17,0.960344147
2019-02-18,0.616154268
2019-02-19,0.599381285
2019-02-20,0.759903964
2019-02-21,0.553411516
2019-02-22,0.603846521
2019-02-23,0.706288008
2019-02-24,0.39629451
2019-02-25,0.377982781
2019-02-26,0.453760063
2019-02-27,0.432616655
2019-02-28,0.376799434
2019-03-01,0.218938331
2019-03-02,0.285946067
2019-03-03,0.3727045
2019-03-04,1.92774202
2019-03-05,2.27327056
2019-03-06,1.38056926
2019-03-07,0.964834824
2019-03-08,0.423012034
2019-03-09,0.516065456
2019-03-10,0.799944935
2019-03-11,0.775159435
2019-03-12,0.47911235
2019-03-13,0.587950845
2019-03-14,0.534816287
2019-03-15,0.42450914
2019-03-16,0.422396764
2019-03-17,0.644723542
2019-03-18,0.488731836
2019-03-19,0.800768308
2019-03-20,0.436880791
2019-03-21,0.489483462
2019-03-22,1.00883312
2019-03-23,0.459151532
2019-03-24,0.275810989
2019-03-25,0.404241949
2019-03-26,0.692053991
2019-03-27,0.749774323
2019-03-28,0.524217095
2019-03-29,1.01138867
2019-03-30,1.31701947
2019-03-31,1.4998059
2019-04-01,0.401373179
2019-04-02,0.54749174
2019-04-03,0.865488775
2019-04-04,1.00991825
2019-04-05,1.37799478
2019-04-06,0.431204702
2019-04-07,0.332423975
2019-04-08,0.614130937
2019-04-09,0.192569567
2019-04-10,0.454674908
2019-04-11,0.302259915
2019-04-12,0.840712478
2019-04-13,0.691484954
2019-04-14,0.389128201
2019-04-15,0.712475953
2019-04-16,0.736472622
2019-04-17,0.75516907
2019-04-18,0.496358553
2019-04-19,0.38453182
2019-04-20,0.372770177
2019-04-21,0.670831729
2019-04-22,0.524554439
2019-04-23,0.490316619
2019-04-24,0.801682492
2019-04-25,0.483019933
2019-04-26,1.34432712
2019-04-27,0.81590633
2019-04-28,0.513890618
2019-04-29,0.385376808
2019-04-30,0.350793956
2019-05-01,0.465605411
2019-05-02,0.21200001
2019-05-03,-9999
2019-05-04,-nan
2019-05-05,0.366122012
2019-05-06,0.37451159
2019-05-07,0.341564284
2019-05-08,0.43815069
2019-05-09,0.582208841
2019-05-10,0.726437921
2019-05-11,0.580627992
2019-05-12,0.976279646
2019-05-13,0.925625253
2019-05-14,0.828427647
2019-05-15,0.447926165
2019-05-16,0.520802804
2019-05-17,0.673507824
2019-05-18,0.2791553
2019-05-19,0.861895869
2019-05-20,0.466920209
2019-05-21,2.29286418
2019-05-22,0.551982259
2019-05-23,1.16692611
2019-05-24,2.18605001
2019-05-25,-nan
2019-05-26,0.34881785
2019-05-27,0.209137014
2019-05-28,0.370719679
2019-05-29,0.308436615
2019-05-30,0.595131706
2019-05-31,0.631768398
2019-06-01,1.03073419
2019-06-02,0.530341205
2019-06-03,0.7533782
2019-06-04,0.329110669
2019-06-05,0.559815085
2019-06-06,-nan
2019-06-07,0.542000026
2019-06-08,-nan
2019-06-09,0.33388375
2019-06-10,0.716228132
2019-06-11,0.700294238
2019-06-12,0.787083377
2019-06-13,0.583102177
2019-06-14,1.09245055
2019-06-15,1.28900006
2019-06-16,0.685967084
2019-06-17,1.73430044
2019-06-18,0.624575065
2019-06-19,0.827398613
2019-06-20,-nan
2019-06-21,0.712000034
2019-06-22,0.309000015
2019-06-23,0.678705081
2019-06-24,0.381627541
2019-06-25,-nan
2019-06-26,0.586000028
2019-06-27,-9999
2019-06-28,0.711913669
2019-06-29,2.09904399
2019-06-30,0.845592502
2019-07-01,0.201254278
2019-07-02,0.487993211
2019-07-03,0.387895358
2019-07-04,0.276469823
2019-07-05,-9999
2019-07-06,-9999
2019-07-07,-9999
2019-07-08,-9999
2019-07-09,-9999
2019-07-10,-9999
2019-07-11,-9999
2019-07-12,-nan
2019-07-13,-9999
2019-07-14,-9999
2019-07-15,-9999
2019-07-16,1.39754103
2019-07-17,1.00142291
2019-07-18,1.14033452
2019-07-19,0.708054976
2019-07-20,0.525684319
2019-07-21,0.396788792
2019-07-22,-9999
2019-07-23,0.507994184
2019-07-24,-nan
2019-07-25,-9999
2019-07-26,-9999
2019-07-27,-9999
2019-07-28,0.155971788
2019-07-29,-nan
2019-07-30,-9999
2019-07-31,-9999
2019-08-01,0.505142881
2019-08-02,0.18747913
2019-08-03,0.171000008
2019-08-04,0.377241616
2019-08-05,0.227130147
2019-08-06,0.247820073
2019-08-07,0.213472247
2019-08-08,0.596000028
2019-08-09,-nan
2019-08-10,0.623592231
2019-08-11,0.339210779
2019-08-12,0.345007297
2019-08-13,0.484679024
2019-08-14,-nan
2019-08-15,-nan
2019-08-16,-9999
