Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,Average,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,1/9/2018 8:00,2018,1,9,8,239,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 9:00,2018,1,9,9,234,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 10:00,2018,1,9,10,247,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 11:00,2018,1,9,11,227,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 12:00,2018,1,9,12,191,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 13:00,2018,1,9,13,132,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 14:00,2018,1,9,14,121,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 15:00,2018,1,9,15,132,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 16:00,2018,1,9,16,101,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 17:00,2018,1,9,17,112,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 18:00,2018,1,9,18,156,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 19:00,2018,1,9,19,210,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 20:00,2018,1,9,20,191,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 21:00,2018,1,9,21,187,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 22:00,2018,1,9,22,201,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 23:00,2018,1,9,23,199,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 0:00,2018,1,10,0,175,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 1:00,2018,1,10,1,180,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 2:00,2018,1,10,2,206,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 3:00,2018,1,10,3,210,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 4:00,2018,1,10,4,210,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 5:00,2018,1,10,5,229,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 6:00,2018,1,10,6,252,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 7:00,2018,1,10,7,229,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 8:00,2018,1,10,8,244,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 9:00,2018,1,10,9,257,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 10:00,2018,1,10,10,257,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 11:00,2018,1,10,11,242,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 12:00,2018,1,10,12,206,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 13:00,2018,1,10,13,185,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 14:00,2018,1,10,14,168,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 15:00,2018,1,10,15,133,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 16:00,2018,1,10,16,139,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 17:00,2018,1,10,17,159,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 18:00,2018,1,10,18,189,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 19:00,2018,1,10,19,234,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 20:00,2018,1,10,20,259,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 21:00,2018,1,10,21,288,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 22:00,2018,1,10,22,290,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/10/2018 23:00,2018,1,10,23,292,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 0:00,2018,1,11,0,294,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 1:00,2018,1,11,1,287,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 2:00,2018,1,11,2,271,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 3:00,2018,1,11,3,279,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 4:00,2018,1,11,4,269,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 5:00,2018,1,11,5,262,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 6:00,2018,1,11,6,220,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 7:00,2018,1,11,7,234,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 8:00,2018,1,11,8,248,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 9:00,2018,1,11,9,286,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 10:00,2018,1,11,10,238,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 11:00,2018,1,11,11,211,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 12:00,2018,1,11,12,244,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 13:00,2018,1,11,13,335,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 14:00,2018,1,11,14,228,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 15:00,2018,1,11,15,184,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 16:00,2018,1,11,16,186,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 17:00,2018,1,11,17,210,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 18:00,2018,1,11,18,250,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 19:00,2018,1,11,19,260,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 20:00,2018,1,11,20,280,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 21:00,2018,1,11,21,292,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/11/2018 22:00,2018,1,11,22,314,,UG/M3,1 Hr,Valid
